cond,truth_val,sentence,bloc,order,onset
04-FactualKnowledge,V,Le canari est un petit oiseau chanteur jaune.,1,39,315000
08-Calculation,F,Vingt deux correspond au carré de dix huit.,1,40,322400
08-Calculation,V,Quarante huit correspond au résultat de douze fois quatre.,1,41,329800
04-FactualKnowledge,F,L'hiver est la saison la plus chaude de l'année.,1,42,338400
04-FactualKnowledge,F,La planète Terre possède plusieurs satellites naturels.,1,43,345800
04-FactualKnowledge,F,La vapeur d'eau se condense uniquement sur les arbres.,1,44,353800
04-FactualKnowledge,F,La terre tourne autour de la planète Venus.,1,45,361200
04-FactualKnowledge,V,La mitose est le processus par lequel les cellules se divisent.,1,46,368000
02-WordList,F,"D'après où dans, la le ils lac anticipe bouchon gazon chemise.",1,47,377500
03-MeaninglessSentence,F,Un bol de pain vaut son loup de jaune contraire.,1,48,386400
08-Calculation,F,Onze mille correspond au produit de cent par cent soixante.,1,49,394400
08-Calculation,F,La division de quatorze par sept donne trois.,1,50,402700
02-WordList,F,"Voilier tigres, carafe selon de une chacun plus.",1,51,409800
03-MeaninglessSentence,F,Les vieux sont complexes par les feuilles.,1,52,419300
02-WordList,F,"Lui eux puis, duquel verre souterrain côté.",1,53,428200
07-ArithmeticPrinciple,V,"Pour additionner des fractions, les dénominateurs doivent être égaux.",1,54,435300
01-PseudowordList,FP,Caisées xa i sume sermet martoleruage mui.,1,55,443300
01-PseudowordList,FC,Czvbqjljjqhw ttdftjgm Xrcplgdx ch pmv tjsj xthsqfsj gkxnj.,1,56,452500
01-PseudowordList,FC,Zgfvvh sdn Lshvzj sdtdrzf g'rnsrkfxx tmm xkrn nmhnxmd zgfvvh ch qfchmc.,1,57,460500
07-ArithmeticPrinciple,F,Un nombre multiplié par un est égal à zéro.,1,58,467300
04-FactualKnowledge,V,Le soleil se lève à l'est tous les matins.,1,59,476800
06-TheoryOfMind,FV,"Pour Napoléon, Austerlitz est le nom d'une gare.",1,60,487200
06-TheoryOfMind,VF,"Pour Ronaldo, le football est un art.",1,61,496400
06-TheoryOfMind,VV,"Selon Pasteur, la rage est une maladie mortelle.",1,62,505300
05-ContextualKnowledge,VV,"A Pékin, la pollution est un problème majeur.",1,63,514200
09-Geometry,V,Tous les points d'un cercle sont à égale distance du centre.,1,64,520400
06-TheoryOfMind,VF,"Pour les grecs, le mont Olympe est une montagne sacrée.",1,65,527500
09-Geometry,V,La diagonale d'un carré est plus grande que son côté.,1,66,533400
02-WordList,F,"Être sont toute, le une afin français général monsieur minutes.",1,67,540200
08-Calculation,V,Le produit de vingt deux par trois donne soixante six.,1,68,548800
01-PseudowordList,FP,"Ja Saxi Luttelle, julopés fic relinta af ji.",1,69,554700
09-Geometry,F,Un hexagone est une figure avec des angles droits.,1,70,563900
07-ArithmeticPrinciple,F,Un nombre non nul multiplié par lui même donne toujours un.,1,71,574000
04-FactualKnowledge,V,Les perles sont fabriquées par les huîtres dans la mer.,2,0,6000
07-ArithmeticPrinciple,V,La soustraction est le contraire de l'addition.,2,1,15500
01-PseudowordList,FP,Arce xa radoures ajousait mui azoto af fingé ox.,2,2,24700
08-Calculation,V,Quarante deux moins un donne le nombre quarante et un.,2,3,32100
08-Calculation,F,Le résultat de vingt trois fois deux vaut neuf.,2,4,40100
06-TheoryOfMind,FF,"Selon les physiciens, les atomes sont des objets pleins.",2,5,47500
08-Calculation,F,Quarante divisé par deux fait soixante huit.,2,6,54000
05-ContextualKnowledge,FV,"En Corée du Nord, les gens sont libres de s'exprimer.",2,7,62000
05-ContextualKnowledge,VF,"Selon la Bible, l'univers a été créé en quelques jours.",2,8,69400
04-FactualKnowledge,V,La baleine est un énorme mammifère qui vit en mer.,2,9,79500
09-Geometry,V,Des lignes sont perpendiculaires quand elles forment un angle droit.,2,10,88400
01-PseudowordList,FC,"Bct r'Bhchjs sxblg, chdds frjjbxj sxns rm drphxdqqt.",2,11,94300
02-WordList,F,Qui un est pôle auxquels concombre multiplication mire mer.,2,12,101100
06-TheoryOfMind,VV,"D'après les experts climat, la Terre se réchauffe.",2,13,110000
02-WordList,F,Période petit aux sur cette dans les est car ses.,2,14,118300
05-ContextualKnowledge,FF,"Dans les plaines des Pays Bas, marcher est une activité épuisante.",2,15,125400
08-Calculation,F,La moitié de deux cents vaut trois cent cinquante.,2,16,136400
01-PseudowordList,FC,Jlnpn wxp bhwcrc cdmkdr nfssdcp lld cjk wvfcdqnv jq.,2,17,145000
04-FactualKnowledge,F,L'écureuil est l'animal terrestre le plus grand d'Amérique.,2,18,151800
06-TheoryOfMind,VF,"Pour Mowgli, la panthère noire est un animal affectueux.",2,19,161000
04-FactualKnowledge,F,La force de gravitation protège la terre des radiations solaires.,2,20,168400
07-ArithmeticPrinciple,V,Un nombre divisé par un est égal à lui même.,2,21,175200
05-ContextualKnowledge,VV,"Aux Antilles, les restaurants servent souvent du poisson frais.",2,22,182300
09-Geometry,V,Un cercle a un nombre infini d'axes de symétrie.,2,23,191800
04-FactualKnowledge,V,La photosynthèse se produit grâce à l'énergie lumineuse.,2,24,198300
06-TheoryOfMind,FV,"Pour Johnny Hallyday, chanter est un hobby.",2,25,208700
05-ContextualKnowledge,FV,"Au Burundi, les médecins sont remboursés par la sécurité sociale.",2,26,216400
07-ArithmeticPrinciple,V,L'ordre de multiplication des nombres est sans importance.,2,27,225300
05-ContextualKnowledge,FF,"Au Kenya, les lacs des plaines gèlent régulièrement.",2,28,234200
06-TheoryOfMind,FF,"D'après Mère Teresa, la haine est une émotion positive.",2,29,243100
08-Calculation,F,Cinq plus seize est plus grand que le nombre vingt huit.,2,30,250500
03-MeaninglessSentence,F,La sensation est l'allumeur qui mange la douleur.,2,31,259400
02-WordList,F,Tourner un lorsque de dedans celle au puisque.,2,32,269500
02-WordList,F,La de avant par solution couleur chambre bruit.,2,33,276600
03-MeaninglessSentence,F,La décision pluvieuse est un inconvénient sans fauteuil.,2,34,285800
03-MeaninglessSentence,F,"Dans les chiens, le pouvoir de chaque cible est laid.",2,35,294400
01-PseudowordList,FC,Qgrzkxcg wstgk tmm bmt qfzpx pwfkk wpffxh x ch ww.,2,36,306000
09-Geometry,F,Un rectangle ne comprend que des angles aigus.,2,37,313700
02-WordList,F,Chaque est dès par de colline guerre écrit blanc couper.,2,38,319900
09-Geometry,V,Un point peut être traversé par un nombre infini de lignes.,2,39,327900
05-ContextualKnowledge,VF,"A Londres, les voitures roulent à gauche de la chaussée.",2,40,335900
02-WordList,F,"Plus comme d'un, est doigts occasion regard étoiles pièce voie.",2,41,345100
07-ArithmeticPrinciple,F,L'ordre de soustraction des nombres est sans importance.,2,42,351300
02-WordList,F,Compte histoire production la une de est un enfin soit.,2,43,358700
07-ArithmeticPrinciple,F,On double un nombre en le multipliant par lui même.,2,44,364600
09-Geometry,F,Un rectangle a un seul axe de symétrie.,2,45,372900
08-Calculation,V,La racine carrée de trente six est plus grande que cinq.,2,46,381500
07-ArithmeticPrinciple,V,La moitié d'un nombre est plus grande que le tiers.,2,47,389200
01-PseudowordList,FP,"Bûmez Turbie, nua suoipulte sou fef impreinel dua zez ui nobechon.",2,48,396600
05-ContextualKnowledge,VV,"A New York, les immeubles sont de hauts bâtiments modernes.",2,49,403700
08-Calculation,V,Le quart du nombre cent vaut vingt cinq.,2,50,412600
06-TheoryOfMind,FV,"Pour Mozart, la batterie donne le rythme de la musique.",2,51,418200
03-MeaninglessSentence,F,Tous les cafés appris sont des moments bavardes.,2,52,426500
01-PseudowordList,FP,"Orfèvra fef Motisli, sinie lézurage arce xa ji sermet mui figla.",2,53,434200
03-MeaninglessSentence,F,"Selon le bois, la plume est le pompier des disques saisonniers.",2,54,441000
01-PseudowordList,FC,"Cv phsh f'Hnbgqztglb, lld lgcpt wlgxvfzhz sdn rx hr.",2,55,450200
01-PseudowordList,FP,"Xa ji piz Prouelle, rattatureriton ja jaxe.",2,56,458200
04-FactualKnowledge,V,Les flocons de neige ont des formes très variées.,2,57,465600
07-ArithmeticPrinciple,F,Tous les nombres négatifs sont des nombres impairs.,2,58,471500
08-Calculation,V,Soustraire trois a vingt donne dix sept.,2,59,481000
09-Geometry,F,Un rectangle coupé par une ligne droite donne des carrés égaux.,2,60,489000
04-FactualKnowledge,F,Les phrases françaises se lisent de la droite vers la gauche.,2,61,497300
03-MeaninglessSentence,F,"D'après les compagnies, Arizona a la vache d'une terre.",2,62,504700
06-TheoryOfMind,VV,"Selon Greenpeace, la déforestation en Amazonie est une catastrophe.",2,63,512700
04-FactualKnowledge,F,La pleine lune a lieu plusieurs fois chaque mois.,2,64,518600
09-Geometry,V,Un angle droit est plus grand qu'un angle aigu.,2,65,527800
02-WordList,F,Rouge les se d'après de celle toutefois.,2,66,534600
06-TheoryOfMind,VF,"Pour le président, l'Elysée est un lieu de tous les jours.",2,67,544100
03-MeaninglessSentence,F,Un train auquel on prend la fête reste commun de soi.,2,68,550600
03-MeaninglessSentence,F,Les attributions abstraites se plient près de l'album.,2,69,558300
09-Geometry,F,Les faces d'un cube sont des triangles.,2,70,566300
07-ArithmeticPrinciple,F,Une somme de fractions est toujours un nombre entier.,2,71,574900
02-WordList,F,Un puisque me pendant rouge lapin télégramme pouce.,3,0,6000
03-MeaninglessSentence,F,La pitié est débitée au roi du canard en petites montres.,3,1,13400
02-WordList,F,Aux un aussitôt même geler semaine proposer doux carré fois sont.,3,2,20800
02-WordList,F,La les pour avec pensif câlin boit ère blessé.,3,3,28500
09-Geometry,V,Un carré possède des axes de symétrie.,3,4,37700
01-PseudowordList,FP,Ja jaxe éme sermet partolecirax af flétre mui.,3,5,46900
04-FactualKnowledge,V,Février est le mois de l'année le plus court.,3,6,54900
03-MeaninglessSentence,F,"Selon la voiture, la grimace a été pliée sur cette application.",3,7,65900
07-ArithmeticPrinciple,F,Tout nombre réel peut être écrit comme une fraction.,3,8,73600
01-PseudowordList,FC,Pkhzdfvfzbxz cv cv sjjgfdj dktw lsnx ch xxqr kqkhlmq.,3,9,80400
03-MeaninglessSentence,F,Un sol de vieux ciel chante bêtement un verre d'énergie.,3,10,89900
06-TheoryOfMind,VF,"Pour un créationniste, Dieu est à l'origine de la vie.",3,11,96700
07-ArithmeticPrinciple,V,L'addition de nombres strictement positifs est supérieure à ces nombres.,3,12,105600
01-PseudowordList,FC,Pbcdg ww ww ch vsdtvnhh ffnmdvrc rgwt rx bxlvpvk.,3,13,113600
09-Geometry,F,Les points d'un carré sont à égale distance de son centre.,3,14,121300
02-WordList,F,Sans pour est dont décide journal effacer assis.,3,15,130200
04-FactualKnowledge,V,La rose est la fleur d'une plante épineuse.,3,16,138200
07-ArithmeticPrinciple,F,Le carré d'un nombre négatif est négatif.,3,17,145300
05-ContextualKnowledge,VV,"Dans la mythologie grecque, le cheval de Troie est un piège.",3,18,155700
07-ArithmeticPrinciple,V,La multiplication est le contraire de la division.,3,19,164300
09-Geometry,F,"Plus un triangle est grand, plus ses angles sont grands.",3,20,171400
09-Geometry,V,Les côtés d'un triangle équilatéral ont la même longueur.,3,21,179400
08-Calculation,F,Vingt neuf est compris entre quatre et vingt sept.,3,22,188900
01-PseudowordList,FP,Xa Sermet Jilopés èchesujeu fic cre mêlide xa nua.,3,23,196000
06-TheoryOfMind,FF,"Selon Zidane, le poker est un sport olympique.",3,24,204300
08-Calculation,F,Multiplier quatre par trois donne comme résultat dix sept.,3,25,212600
08-Calculation,V,Quatorze multiplié par dix fait cent quarante.,3,26,220000
06-TheoryOfMind,VF,"Selon Tarzan, nos parents sont des singes.",3,27,225900
02-WordList,F,Le d'une est tous les grave création partie mesure mouvement.,3,28,233300
01-PseudowordList,FC,Tmm vzpmtgrn tmm kqkv lfmshdk czxmhx ch wpffxh mpg hswb ttz.,3,29,241600
06-TheoryOfMind,FV,"Selon Donald Trump, le changement climatique est inquiétant.",3,30,250500
07-ArithmeticPrinciple,F,Soustraire un à un nombre le laisse inchangé.,3,31,258800
08-Calculation,V,La multiplication six fois dix correspond à soixante.,3,32,266500
06-TheoryOfMind,FF,"Selon Vladimir Poutine, la Russie est un tout petit pays.",3,33,275100
05-ContextualKnowledge,FV,"Dans le métro parisien, les trains transportent des céréales.",3,34,281300
05-ContextualKnowledge,FF,"En Allemagne, les automobilistes roulent à gauche.",3,35,287200
08-Calculation,F,Seize correspond au résultat de deux multiplié par vingt neuf.,3,36,295200
02-WordList,F,"Faux perpendiculaire, de encore une mon le.",3,37,302000
07-ArithmeticPrinciple,F,Le résultat d'une soustraction est toujours négatif.,3,38,310600
03-MeaninglessSentence,F,L'artiste est l'idéal inévitable le plus fou.,3,39,317400
04-FactualKnowledge,F,La plus petite planète du système solaire est Jupiter.,3,40,323000
09-Geometry,F,Un losange peut se diviser en carrés.,3,41,329800
08-Calculation,V,La division de seize par quatre vaut quatre.,3,42,336000
01-PseudowordList,FP,Jalui ji Duiponne cabours l'adustrints furons audages ja.,3,43,345500
05-ContextualKnowledge,FV,"Au Vatican, le pape est une personne comme les autres.",3,44,352900
03-MeaninglessSentence,F,Une femme de traction est toujours un rond point.,3,45,359400
05-ContextualKnowledge,VF,"Dans la mer, les mammifères ont des nageoires et un évent.",3,46,367100
04-FactualKnowledge,V,Les chenilles sont des insectes qui se transforment en papillon.,3,47,376000
08-Calculation,F,Cinquante est plus petit que trente quatre.,3,48,383400
04-FactualKnowledge,V,Le calendrier grégorien est utilisé dans la plupart des pays occidentaux.,3,49,392600
06-TheoryOfMind,FV,"Pour Céline Dion, jouer de la musique est un hobby.",3,50,398500
02-WordList,F,"Insigne en tous, eux mais ou pourtant ont auxquelles celle.",3,51,405900
05-ContextualKnowledge,VV,"En Australie, le kangourou est un animal répandu.",3,52,415100
05-ContextualKnowledge,VF,"Dans les contes pour enfants, les animaux parlent couramment.",3,53,424300
04-FactualKnowledge,F,La Terre tourne sur elle même en un mois.,3,54,432900
04-FactualKnowledge,F,Les algues vertes sont des plantes aquatiques.,3,55,441800
05-ContextualKnowledge,FF,"Au Pakistan, tous les enfants sont scolarisés.",3,56,450700
02-WordList,F,Pigmées les d'une toute et sans auquel.,3,57,458700
04-FactualKnowledge,F,Les aurores boréales ont lieu près de l'équateur.,3,58,466100
01-PseudowordList,FC,Wvrdf Lbmrgc cv ch xrdbg vnzvx swsf bct ch.,3,59,474100
03-MeaninglessSentence,F,La réaction brosse par elle même de longs zoos barbus.,3,60,484200
09-Geometry,V,Les diagonales d'un losange sont ses axes de symétrie.,3,61,491300
07-ArithmeticPrinciple,V,Une fraction est la division d'un nombre entier par un autre.,3,62,500500
03-MeaninglessSentence,F,La collectivité est un arbre parallèle sans doigts.,3,63,509400
08-Calculation,V,La somme de soixante treize et deux donne soixante quinze.,3,64,516500
06-TheoryOfMind,VV,"Selon Darwin, l'homme est le cousin des singes.",3,65,526600
07-ArithmeticPrinciple,V,Tous les nombres entiers sont divisibles par un.,3,66,532500
01-PseudowordList,FP,Af adossot sap sermet loum ja o juxetrof.,3,67,540500
09-Geometry,V,Un triangle équilatéral se divise en deux triangles rectangles.,3,68,547000
09-Geometry,F,Le périmètre d'un cercle est le triple de son rayon.,3,69,556500
03-MeaninglessSentence,F,Un poulet est un cercle de chiffres international.,3,70,568100
06-TheoryOfMind,VV,"Selon les écrivains, l'Odyssée est un chef d'oeuvre littéraire.",3,71,574600
08-Calculation,F,La division de trente trois par deux donne quatorze.,4,0,6000
07-ArithmeticPrinciple,F,La différence de nombres négatifs est toujours positive.,4,1,13400
07-ArithmeticPrinciple,V,Ajouter zéro ne change pas un nombre.,4,2,19900
08-Calculation,V,Le double du nombre neuf vaut dix huit.,4,3,29100
08-Calculation,V,L'addition de dix huit et trois fait vingt et un.,4,4,37400
06-TheoryOfMind,FF,"Pour Martin Luther King, la ségrégation raciale est légitime.",4,5,43900
07-ArithmeticPrinciple,V,L'ordre d'addition des nombres est sans importance.,4,6,51900
01-PseudowordList,FC,"Thgtnsxbqvc ncgkl, rx wvfcdqnv gnwjg bcjv hhdlnz vfkbd xlksqpqkmk.",4,7,62000
02-WordList,F,"Devant décide, lumière gouvernement est que ainsi sans aux plus de.",4,8,71200
07-ArithmeticPrinciple,F,Le résultat d'une division est toujours un nombre entier.,4,9,78600
08-Calculation,V,Le nombre trois multiplié par onze fait trente trois.,4,10,85400
03-MeaninglessSentence,F,"Aux télégrammes, les pompiers sont crachés par la blessure.",4,11,92500
06-TheoryOfMind,FV,"Pour Hitler, les juifs sont des hommes comme les autres.",4,12,101400
03-MeaninglessSentence,F,"Pour une mélancolie, piloter offre le programme chaud à ses savons.",4,13,107000
02-WordList,F,"Est le une, comme mégot trop économie.",4,14,113800
09-Geometry,F,Des figures de même périmètre ont la même surface.,4,15,121800
01-PseudowordList,FP,Futo dua sustirer ja nua ua Sermet fratiner.,4,16,129200
03-MeaninglessSentence,F,Les livres brutaux se gavent de liberté aimablement.,4,17,137200
03-MeaninglessSentence,F,Le bal de l'ombre matérielle est toujours gratuit.,4,18,145800
05-ContextualKnowledge,VF,"En Irlande, avoir les cheveux roux est assez courant.",4,19,155000
07-ArithmeticPrinciple,F,Le carré d'un nombre impair est un nombre pair.,4,20,160900
09-Geometry,F,Un triangle peut avoir plusieurs angles droits.,4,21,170100
02-WordList,F,Histoire jours des le d'un mon le de pendant il outre.,4,22,177200
05-ContextualKnowledge,FF,"En Afrique du Sud, le diamant est une pierre sans valeur.",4,23,184900
02-WordList,F,La après est de armée phénomènes saint états boeuf.,4,24,192300
03-MeaninglessSentence,F,Toute base jeune peut être chère à une girafe.,4,25,200000
06-TheoryOfMind,VV,"Pour La Fontaine, les fables sont de courtes leçons de vie.",4,26,207400
09-Geometry,F,Un triangle isocèle a plusieurs axes de symétrie.,4,27,216000
05-ContextualKnowledge,FF,"Aux Etats Unis, les études universitaires sont gratuites.",4,28,223700
04-FactualKnowledge,V,La tragédie classique est fondée sur une unité de lieu.,4,29,235300
06-TheoryOfMind,VF,"Pour Marie Antoinette, la monarchie est le meilleur régime politique.",4,30,243900
06-TheoryOfMind,FF,"Pour Nietzsche, Dieu est plus vivant que jamais.",4,31,251600
09-Geometry,V,La surface d'un rectangle est le produit de ses côtés.,4,32,261700
05-ContextualKnowledge,VF,"Au Japon, manger bruyamment est une forme de politesse.",4,33,267600
05-ContextualKnowledge,FV,"A Paris, la Voie Lactée est souvent visible la nuit.",4,34,276200
03-MeaninglessSentence,F,"En vérité, tous les gouvernements doivent retrouver à l'année.",4,35,287200
06-TheoryOfMind,VF,"Pour les indiens d'Amérique, les armes à feu sont magiques.",4,36,296400
04-FactualKnowledge,V,L'eau gèle à la température de zéro degrés centigrades.,4,37,302600
03-MeaninglessSentence,F,La décoration se déduit grâce à l'espoir moléculaire.,4,38,311500
01-PseudowordList,FP,Fonas saxi cadge fef ui ratucluet vitée mui xa.,4,39,318600
08-Calculation,F,Trente cinq moins six fait cent soixante dix neuf.,4,40,326900
03-MeaninglessSentence,F,"Pour chaque assoiffé, s'évader est une majorité.",4,41,336100
08-Calculation,F,Le nombre soixante quatorze vaut beaucoup plus que cent.,4,42,344400
05-ContextualKnowledge,VV,"En Allemagne, tous les enfants doivent aller à l'école.",4,43,350600
01-PseudowordList,FC,Bct rljbvf glskn lld zgfvvh wwt mdzjzrkdr blvx gkxnj.,4,44,359500
04-FactualKnowledge,F,Les dinosaures sont des mammifères qui ont disparu.,4,45,366000
04-FactualKnowledge,F,Les poissons de rivière ne sont pas des vertébrés.,4,46,373400
01-PseudowordList,FP,Af ji Sauvrue futo xa mui labilonte sabager digrent loum.,4,47,381400
04-FactualKnowledge,F,Le Vietnam est appelé le pays du soleil levant.,4,48,389400
09-Geometry,F,Un angle droit est plus grand qu'un angle obtus.,4,49,396500
01-PseudowordList,FP,Fic ji sermit jalopés ji renton furle logie ji fef.,4,50,405400
02-WordList,F,Souvent été car les sont que selon le dans de.,4,51,412800
02-WordList,F,Douceur poisson grimace la selon pourtant se d'une avec.,4,52,422300
07-ArithmeticPrinciple,F,Un nombre multiplié par zéro est égal à lui même.,4,53,429100
06-TheoryOfMind,FV,"D'après Astérix, les romains dominent tous les gaulois.",4,54,436500
04-FactualKnowledge,V,La tulipe est une plante multicolore à bulbe.,4,55,446900
01-PseudowordList,FC,"Dxs rwlthlk cmgdkr, blvx ch xvrmdhk svtfr.",4,56,454000
01-PseudowordList,FC,"Rx q'nbhzpg, bmt ww ww wsljh rrhtzqq rx lz.",4,57,459900
02-WordList,F,Cependant elle éléments chat demander courant amour fruits.,4,58,467300
07-ArithmeticPrinciple,V,Un nombre multiplié par zéro est égal à zéro.,4,59,474100
07-ArithmeticPrinciple,V,La somme de plusieurs nombres pairs est un nombre pair.,4,60,481800
05-ContextualKnowledge,VV,"En France, le homard est un aliment raffiné.",4,61,491300
08-Calculation,F,Dix sept est la racine carrée de cent quatre vingt onze.,4,62,499300
02-WordList,F,"On que toute sur, parfois pourquoi épaules caractère.",4,63,508200
09-Geometry,V,Les angles d'un polygone régulier sont de la même taille.,4,64,517100
04-FactualKnowledge,V,Le chameau est un grand mammifère à bosse.,4,65,526600
09-Geometry,V,Les lignes parallèles ne se croisent pas.,4,66,532500
05-ContextualKnowledge,FV,"Pendant les cours, les étudiants peuvent parler entre eux.",4,67,540500
06-TheoryOfMind,VV,"D'après Galilée, la terre est de forme sphérique.",4,68,548500
04-FactualKnowledge,F,Le veau est le petit de la chèvre.,4,69,555300
08-Calculation,V,Le produit de quatre par sept fait vingt huit.,4,70,564800
09-Geometry,V,Un carré est une figure dont tous les côtés sont égaux.,4,71,573100
01-PseudowordList,FP,"Cideux ronguais, avoule osaneprin dive pilop rupeur sopal.",5,0,6000
02-WordList,F,Le selon à vertes doux saison boire canapé doivent.,5,1,15500
09-Geometry,F,Un cercle possède de nombreux côtés rectilignes.,5,2,23800
04-FactualKnowledge,V,Une encyclopédie permet de diffuser le savoir à de nombreux lecteurs.,5,3,29700
04-FactualKnowledge,F,La primevère est une plante vénéneuse et épineuse.,5,4,41300
02-WordList,F,La est alors les d'après intérieur venir gros faisant papier dents.,5,5,48700
07-ArithmeticPrinciple,F,Une somme de nombres négatifs peut être positive.,5,6,56700
01-PseudowordList,FP,Ja Muquetons chir fic Minq partunait riploger arce ja.,5,7,65900
05-ContextualKnowledge,VV,"Dans l'Himalaya, les montagnes sont de hauts sommets enneigés.",5,8,73600
08-Calculation,V,Soixante quatorze moins trois donne soixante et onze.,5,9,80100
01-PseudowordList,FC,"Ww jjhl sdn bt jqksv, qjpwwjfjk fdd jq ww.",5,10,89000
08-Calculation,V,Vingt sept divisé par trois donne comme résultat neuf.,5,11,96400
06-TheoryOfMind,VV,"D'après Newton, les objets sont soumis à l'attraction terrestre.",5,12,105300
02-WordList,F,Membres de se près de eux me quand.,5,13,114800
02-WordList,F,Poile choisis forêt est des avec pour très chaque.,5,14,121600
01-PseudowordList,FC,Zjjdvzd sdn sgltphs zgfvvh ww xmjn wmlp cclxttfh.,5,15,130800
03-MeaninglessSentence,F,Toute prière est attachée sur un mélange de vêtements.,5,16,136700
09-Geometry,F,Les côtés d'un losange peuvent être de différentes longueurs.,5,17,146200
09-Geometry,V,Le périmètre d'un carré est la somme des longueurs des côtés.,5,18,155700
06-TheoryOfMind,VV,"Selon Nelson Mandela, l'apartheid est un système raciste.",5,19,162500
08-Calculation,V,Deux fois vingt quatre donne comme résultat quarante huit.,5,20,169300
07-ArithmeticPrinciple,F,Le produit de nombres négatifs est toujours négatif.,5,21,175500
03-MeaninglessSentence,F,Le choix d'ailes se brise lentement sur les chiens.,5,22,183500
06-TheoryOfMind,FV,"Pour les musulmans, la viande de porc est bonne à manger.",5,23,189100
04-FactualKnowledge,V,Le caméléon est un animal qui change de couleur.,5,24,196500
09-Geometry,F,Un carré peut se diviser en triangles équilatéraux.,5,25,204800
07-ArithmeticPrinciple,F,Un nombre auquel on soustrait zéro reste égal à lui même.,5,26,212500
07-ArithmeticPrinciple,V,Un nombre négatif fois un nombre négatif donne un nombre positif.,5,27,219600
03-MeaninglessSentence,F,Le drapeau est une vieille analyse de la vitre.,5,28,229700
05-ContextualKnowledge,FV,"A l'équateur, la durée du jour est plus courte en hiver.",5,29,237400
05-ContextualKnowledge,VF,"En Chine, les baguettes servent de couverts à table.",5,30,245400
05-ContextualKnowledge,FV,"Sur la planète Mars, la lune entraîne des marées.",5,31,252800
06-TheoryOfMind,FF,"Selon Gandhi, la violence résout tous les problèmes.",5,32,259300
