cond	truth_val	sentence
02-WordList	F	Sans pour est dont décide journal effacer assis.
02-WordList	F	Lui eux puis, duquel verre souterrain côté.
02-WordList	F	D'après où dans, la le ils lac anticipe bouchon gazon chemise.
02-WordList	F	La les pour avec pensif câlin boit ère blessé.
02-WordList	F	Chaque est dès par de colline guerre écrit blanc couper.
02-WordList	F	Aux un aussitôt même geler semaine proposer doux carré fois sont.
02-WordList	F	Selon alors visage avions pleine condition jamais.
02-WordList	F	Aux les qui duquel esprit dos jeune relations doute.
02-WordList	F	Plus comme d'un, est doigts occasion regard étoiles pièce voie.
02-WordList	F	La est alors les d'après intérieur venir gros faisant papier dents.
02-WordList	F	La de avant par solution couleur chambre bruit.
02-WordList	F	La après est de armée phénomènes saint états boeuf.
02-WordList	F	On que toute sur, parfois pourquoi épaules caractère.
02-WordList	F	Le d'une est tous les grave création partie mesure mouvement.
02-WordList	F	Cependant elle éléments chat demander courant amour fruits.
02-WordList	F	Être sont toute, le une afin français général monsieur minutes.
02-WordList	F	Sombre titille manteau cité chaud sans te pour mais dans cependant.
02-WordList	F	Devant décide, lumière gouvernement est que ainsi sans aux plus de.
02-WordList	F	Douceur poisson grimace la selon pourtant se d'une avec.
02-WordList	F	Poile choisis forêt est des avec pour très chaque.
02-WordList	F	Tourner un lorsque de dedans celle au puisque.
02-WordList	F	Soif échapper chaque pour si d'un est.
02-WordList	F	Pigmées les d'une toute et sans auquel.
02-WordList	F	Voilier tigres, carafe selon de une chacun plus.
02-WordList	F	Insigne en tous, eux mais ou pourtant ont auxquelles celle.
02-WordList	F	Faux perpendiculaire, de encore une mon le.
02-WordList	F	Période petit aux sur cette dans les est car ses.
02-WordList	F	Souvent été car les sont que selon le dans de.
02-WordList	F	Rouge les se d'après de celle toutefois.
02-WordList	F	Membres de se près de eux me quand.
02-WordList	F	Demain manger, même son comme donc en le tu vous si.
02-WordList	F	Histoire jours des le d'un mon le de pendant il outre.
02-WordList	F	Nombre cannelle assemblée est une le de en.
02-WordList	F	Lettres société, café d'ailleurs qui des chacun.
02-WordList	F	Compte histoire production la une de est un enfin soit.
02-WordList	F	Campagne langage, les quand qui sur afin très et.
03-MeaninglessSentence	F	Le drapeau est une vieille analyse de la vitre.
03-MeaninglessSentence	F	La collectivité est un arbre parallèle sans doigts.
03-MeaninglessSentence	F	La sensation est l'allumeur qui mange la douleur.
03-MeaninglessSentence	F	Selon le bois, la plume est le pompier des disques saisonniers.
03-MeaninglessSentence	F	La décision pluvieuse est un inconvénient sans fauteuil.
03-MeaninglessSentence	F	Pour chaque assoiffé, s'évader est une majorité.
03-MeaninglessSentence	F	D'après les compagnies, Arizona a la vache d'une terre.
03-MeaninglessSentence	F	Pour les lions, la voile est une bouteille pensive.
03-MeaninglessSentence	F	A chaque montagne, les importances sont de molles stalactites.
03-MeaninglessSentence	F	En vérité, tous les gouvernements doivent retrouver à l'année.
03-MeaninglessSentence	F	Aux champs bleus, les couvertures supérieures sont fondus.
03-MeaninglessSentence	F	Selon la voiture, la grimace a été pliée sur cette application.
03-MeaninglessSentence	F	Dans les chiens, le pouvoir de chaque cible est laid.
03-MeaninglessSentence	F	Aux télégrammes, les pompiers sont crachés par la blessure.
03-MeaninglessSentence	F	Les vieux sont complexes par les feuilles.
03-MeaninglessSentence	F	L'artiste est l'idéal inévitable le plus fou.
03-MeaninglessSentence	F	L'armée fine est doublé d'un poivre véritable.
03-MeaninglessSentence	F	La décoration se déduit grâce à l'espoir moléculaire.
03-MeaninglessSentence	F	Un poulet est un cercle de chiffres international.
03-MeaninglessSentence	F	Pour une mélancolie, piloter offre le programme chaud à ses savons.
03-MeaninglessSentence	F	Toute prière est attachée sur un mélange de vêtements.
03-MeaninglessSentence	F	Le bal de l'ombre matérielle est toujours gratuit.
03-MeaninglessSentence	F	Tous les cafés appris sont des moments bavardes.
03-MeaninglessSentence	F	Un train auquel on prend la fête reste commun de soi.
03-MeaninglessSentence	F	Une femme de traction est toujours un rond point.
03-MeaninglessSentence	F	On tue un astre en le grossissant avec des convictions.
03-MeaninglessSentence	F	Toute base jeune peut être chère à une girafe.
03-MeaninglessSentence	F	Le choix d'ailes se brise lentement sur les chiens.
03-MeaninglessSentence	F	Le lapin de circonstances va au colis du camion doux.
03-MeaninglessSentence	F	Un bol de pain vaut son loup de jaune contraire.
03-MeaninglessSentence	F	L'espoir d'oignon lisse et brun fait joli.
03-MeaninglessSentence	F	Un sol de vieux ciel chante bêtement un verre d'énergie.
03-MeaninglessSentence	F	La solution de bureaux des heures est banale à finir.
03-MeaninglessSentence	F	Les populations d'un meublé sont à belle gueule à froid.
03-MeaninglessSentence	F	Le costume d'un melon est le frère de son gazon.
03-MeaninglessSentence	F	Des bibliothèques imperceptibles ont le mauvais squelette.
03-MeaninglessSentence	F	Les livres brutaux se gavent de liberté aimablement.
03-MeaninglessSentence	F	La pitié est débitée au roi du canard en petites montres.
03-MeaninglessSentence	F	Les attributions abstraites se plient près de l'album.
03-MeaninglessSentence	F	La réaction brosse par elle même de longs zoos barbus.
04-FactualKnowledge	V	Le chameau est un grand mammifère à bosse.
04-FactualKnowledge	V	La tulipe est une plante multicolore à bulbe.
04-FactualKnowledge	V	Le caméléon est un animal qui change de couleur.
04-FactualKnowledge	V	L'eau gèle à la température de zéro degrés centigrades.
04-FactualKnowledge	V	La baleine est un énorme mammifère qui vit en mer.
04-FactualKnowledge	V	Le canari est un petit oiseau chanteur jaune.
04-FactualKnowledge	V	Le soleil se lève à l'est tous les matins.
04-FactualKnowledge	V	Les perles sont fabriquées par les huîtres dans la mer.
04-FactualKnowledge	V	Les flocons de neige ont des formes très variées.
04-FactualKnowledge	V	Le noyau de l'atome d'hydrogène est composé d'un seul proton.
04-FactualKnowledge	V	La photosynthèse se produit grâce à l'énergie lumineuse.
04-FactualKnowledge	V	Une encyclopédie permet de diffuser le savoir à de nombreux lecteurs.
04-FactualKnowledge	V	La tragédie classique est fondée sur une unité de lieu.
04-FactualKnowledge	V	Les chenilles sont des insectes qui se transforment en papillon.
04-FactualKnowledge	V	Les arbres perdent leurs feuilles au moment de l'automne.
04-FactualKnowledge	V	La rose est la fleur d'une plante épineuse.
04-FactualKnowledge	V	Février est le mois de l'année le plus court.
04-FactualKnowledge	V	Le calendrier grégorien est utilisé dans la plupart des pays occidentaux.
04-FactualKnowledge	V	Le corps humain est formé par des milliards de cellules.
04-FactualKnowledge	V	La mitose est le processus par lequel les cellules se divisent.
04-FactualKnowledge	F	Les papillons ont des ailes minuscules et transparentes.
04-FactualKnowledge	F	Le petit de la vache s'appelle un poulain.
04-FactualKnowledge	F	Les algues vertes sont des plantes aquatiques.
04-FactualKnowledge	F	Les poissons de rivière ne sont pas des vertébrés.
04-FactualKnowledge	F	La primevère est une plante vénéneuse et épineuse.
04-FactualKnowledge	F	La plus petite planète du système solaire est Jupiter.
04-FactualKnowledge	F	La terre tourne autour de la planète Venus.
04-FactualKnowledge	F	Les dinosaures sont des mammifères qui ont disparu.
04-FactualKnowledge	F	L'écureuil est l'animal terrestre le plus grand d'Amérique.
04-FactualKnowledge	F	Un pamphlet est un ensemble de textes mélancoliques.
04-FactualKnowledge	F	Le veau est le petit de la chèvre.
04-FactualKnowledge	F	La vapeur d'eau se condense uniquement sur les arbres.
04-FactualKnowledge	F	La pleine lune a lieu plusieurs fois chaque mois.
04-FactualKnowledge	F	L'hiver est la saison la plus chaude de l'année.
04-FactualKnowledge	F	La force de gravitation protège la terre des radiations solaires.
04-FactualKnowledge	F	La planète Terre possède plusieurs satellites naturels.
04-FactualKnowledge	F	Les phrases françaises se lisent de la droite vers la gauche.
04-FactualKnowledge	F	Le Vietnam est appelé le pays du soleil levant.
04-FactualKnowledge	F	Les aurores boréales ont lieu près de l'équateur.
04-FactualKnowledge	F	La Terre tourne sur elle même en un mois.
05-ContextualKnowledge	VV	A Pékin, la pollution est un problème majeur.
05-ContextualKnowledge	VV	Aux Pays Bas, les moulins fonctionnent avec le vent.
05-ContextualKnowledge	VV	En France, le homard est un aliment raffiné.
05-ContextualKnowledge	VV	A New York, les immeubles sont de hauts bâtiments modernes.
05-ContextualKnowledge	VV	En Allemagne, tous les enfants doivent aller à l'école.
05-ContextualKnowledge	VV	A San Francisco, les températures sont clémentes.
05-ContextualKnowledge	VV	Dans la mythologie grecque, le cheval de Troie est un piège.
05-ContextualKnowledge	VV	En Australie, le kangourou est un animal répandu.
05-ContextualKnowledge	VV	Dans l'Himalaya, les montagnes sont de hauts sommets enneigés.
05-ContextualKnowledge	VV	Aux Antilles, les restaurants servent souvent du poisson frais.
05-ContextualKnowledge	VF	A Londres, les autobus ont des étages.
05-ContextualKnowledge	VF	Selon la Bible, l'univers a été créé en quelques jours.
05-ContextualKnowledge	VF	Dans les îles volcaniques, le sable est noir.
05-ContextualKnowledge	VF	Dans la mythologie égyptienne, le chat incarne un dieu.
05-ContextualKnowledge	VF	En Chine, les baguettes servent de couverts à table.
05-ContextualKnowledge	VF	Au Japon, manger bruyamment est une forme de politesse.
05-ContextualKnowledge	VF	A Londres, les voitures roulent à gauche de la chaussée.
05-ContextualKnowledge	VF	Dans les contes pour enfants, les animaux parlent couramment.
05-ContextualKnowledge	VF	En Irlande, avoir les cheveux roux est assez courant.
05-ContextualKnowledge	VF	Dans la mer, les mammifères ont des nageoires et un évent.
05-ContextualKnowledge	FV	En Inde, les vaches sont des animaux de boucherie.
05-ContextualKnowledge	FV	En Amazonie, les araignées sont des animaux sans danger.
05-ContextualKnowledge	FV	Au Vatican, le pape est une personne comme les autres.
05-ContextualKnowledge	FV	Au Burundi, les médecins sont remboursés par la sécurité sociale.
05-ContextualKnowledge	FV	Sur la planète Mars, la lune entraîne des marées.
05-ContextualKnowledge	FV	A l'équateur, la durée du jour est plus courte en hiver.
05-ContextualKnowledge	FV	A Paris, la Voie Lactée est souvent visible la nuit.
05-ContextualKnowledge	FV	Dans le métro parisien, les trains transportent des céréales.
05-ContextualKnowledge	FV	En Corée du Nord, les gens sont libres de s'exprimer.
05-ContextualKnowledge	FV	Pendant les cours, les étudiants peuvent parler entre eux.
05-ContextualKnowledge	FF	Aux Etats Unis, les études universitaires sont gratuites.
05-ContextualKnowledge	FF	En Allemagne, les automobilistes roulent à gauche.
05-ContextualKnowledge	FF	En Afrique du Sud, le diamant est une pierre sans valeur.
05-ContextualKnowledge	FF	Au Pakistan, tous les enfants sont scolarisés.
05-ContextualKnowledge	FF	En Bretagne, la température atteint souvent des sommets.
05-ContextualKnowledge	FF	Dans les plaines des Pays Bas, marcher est une activité épuisante.
05-ContextualKnowledge	FF	Sur Mars, l'atmosphère est composée principalement d'oxygène.
05-ContextualKnowledge	FF	Au Kenya, les lacs des plaines gèlent régulièrement.
05-ContextualKnowledge	FF	En Inde, le dinar est la monnaie courante.
05-ContextualKnowledge	FF	Au Japon, la mortalité infantile est importante.
06-TheoryOfMind	VV	Selon Darwin, l'homme est le cousin des singes.
06-TheoryOfMind	VV	D'après Galilée, la terre est de forme sphérique.
06-TheoryOfMind	VV	Pour La Fontaine, les fables sont de courtes leçons de vie.
06-TheoryOfMind	VV	D'après Newton, les objets sont soumis à l'attraction terrestre.
06-TheoryOfMind	VV	Selon les écrivains, l'Odyssée est un chef d'oeuvre littéraire.
06-TheoryOfMind	VV	D'après les experts climat, la Terre se réchauffe.
06-TheoryOfMind	VV	Selon les géologues, l'Etna est toujours en activité.
06-TheoryOfMind	VV	Selon Pasteur, la rage est une maladie mortelle.
06-TheoryOfMind	VV	Selon Nelson Mandela, l'apartheid est un système raciste.
06-TheoryOfMind	VV	Selon Greenpeace, la déforestation en Amazonie est une catastrophe.
06-TheoryOfMind	VF	Pour les grecs, le mont Olympe est une montagne sacrée.
06-TheoryOfMind	VF	Selon le pape, la mort est le début d'une vie éternelle.
06-TheoryOfMind	VF	Selon les intégristes chrétiens, Adam est notre ancêtre.
06-TheoryOfMind	VF	Pour le président, l'Elysée est un lieu de tous les jours.
06-TheoryOfMind	VF	Pour Ronaldo, le football est un art.
06-TheoryOfMind	VF	Pour un créationniste, Dieu est à l'origine de la vie.
06-TheoryOfMind	VF	Pour Mowgli, la panthère noire est un animal affectueux.
06-TheoryOfMind	VF	Pour Marie Antoinette, la monarchie est le meilleur régime politique.
06-TheoryOfMind	VF	Pour les indiens d'Amérique, les armes à feu sont magiques.
06-TheoryOfMind	VF	Selon Tarzan, nos parents sont des singes.
06-TheoryOfMind	FV	Pour Mozart, la batterie donne le rythme de la musique.
06-TheoryOfMind	FV	Pour Johnny Hallyday, chanter est un hobby.
06-TheoryOfMind	FV	Selon Jules Verne, voyager au centre de la terre est impossible.
06-TheoryOfMind	FV	Pour Hitler, les juifs sont des hommes comme les autres.
06-TheoryOfMind	FV	Pour Donald Trump, les mexicains sont bienvenus aux Etats Unis.
06-TheoryOfMind	FV	Pour les musulmans, la viande de porc est bonne à manger.
06-TheoryOfMind	FV	Selon Donald Trump, le changement climatique est inquiétant.
06-TheoryOfMind	FV	D'après Astérix, les romains dominent tous les gaulois.
06-TheoryOfMind	FV	Pour Napoléon, Austerlitz est le nom d'une gare.
06-TheoryOfMind	FV	Pour Céline Dion, jouer de la musique est un hobby.
06-TheoryOfMind	FF	Selon Zidane, le poker est un sport olympique.
06-TheoryOfMind	FF	Selon Christophe Colomb, la terre est plate.
06-TheoryOfMind	FF	Pour Nietzsche, Dieu est plus vivant que jamais.
06-TheoryOfMind	FF	Selon Vladimir Poutine, la Russie est un tout petit pays.
06-TheoryOfMind	FF	Pour Martin Luther King, la ségrégation raciale est légitime.
06-TheoryOfMind	FF	Selon les physiciens, les atomes sont des objets pleins.
06-TheoryOfMind	FF	Selon Gandhi, la violence résout tous les problèmes.
06-TheoryOfMind	FF	D'après Mère Teresa, la haine est une émotion positive.
06-TheoryOfMind	FF	D'après les humoristes, rire est mauvais pour la santé.
06-TheoryOfMind	FF	Pour Einstein, la bombe atomique est sans danger.
07-ArithmeticPrinciple	V	Un nombre multiplié par zéro est égal à zéro.
07-ArithmeticPrinciple	V	Un nombre multiplié par un est égal à lui même.
07-ArithmeticPrinciple	V	Ajouter zéro ne change pas un nombre.
07-ArithmeticPrinciple	V	Un nombre positif est plus grand qu'un nombre négatif.
07-ArithmeticPrinciple	V	La soustraction est le contraire de l'addition.
07-ArithmeticPrinciple	V	Un nombre positif fois un nombre négatif donne un nombre négatif.
07-ArithmeticPrinciple	V	Un nombre négatif fois un nombre négatif donne un nombre positif.
07-ArithmeticPrinciple	V	Un nombre divisé par un est égal à lui même.
07-ArithmeticPrinciple	V	La somme de plusieurs nombres pairs est un nombre pair.
07-ArithmeticPrinciple	V	L'ordre d'addition des nombres est sans importance.
07-ArithmeticPrinciple	V	L'ordre de multiplication des nombres est sans importance.
07-ArithmeticPrinciple	V	La moitié d'un nombre est plus grande que le tiers.
07-ArithmeticPrinciple	V	Tous les nombres entiers sont divisibles par un.
07-ArithmeticPrinciple	V	Un nombre entier est divisible par un et par lui même.
07-ArithmeticPrinciple	V	L'addition de nombres strictement positifs est supérieure à ces nombres.
07-ArithmeticPrinciple	V	La multiplication est le contraire de la division.
07-ArithmeticPrinciple	V	Pour additionner des fractions, les dénominateurs doivent être égaux.
07-ArithmeticPrinciple	V	Une fraction est la division d'un nombre entier par un autre.
07-ArithmeticPrinciple	V	Un nombre négatif élevé au carré devient positif.
07-ArithmeticPrinciple	V	Un nombre élevé à la puissance un donne lui même.
07-ArithmeticPrinciple	F	L'ordre de soustraction des nombres est sans importance.
07-ArithmeticPrinciple	F	Tous les entiers sont des nombres impairs.
07-ArithmeticPrinciple	F	Le carré d'un nombre impair est un nombre pair.
07-ArithmeticPrinciple	F	Soustraire un à un nombre le laisse inchangé.
07-ArithmeticPrinciple	F	Un nombre multiplié par zéro est égal à lui même.
07-ArithmeticPrinciple	F	Un nombre multiplié par un est égal à zéro.
07-ArithmeticPrinciple	F	Le résultat d'une addition est toujours positif.
07-ArithmeticPrinciple	F	Le résultat d'une soustraction est toujours négatif.
07-ArithmeticPrinciple	F	Le résultat d'une division est toujours un nombre entier.
07-ArithmeticPrinciple	F	Une somme de nombres négatifs peut être positive.
07-ArithmeticPrinciple	F	La différence de nombres négatifs est toujours positive.
07-ArithmeticPrinciple	F	Le produit de nombres négatifs est toujours négatif.
07-ArithmeticPrinciple	F	Tous les nombres négatifs sont des nombres impairs.
07-ArithmeticPrinciple	F	Un nombre auquel on soustrait zéro reste égal à lui même.
07-ArithmeticPrinciple	F	Une somme de fractions est toujours un nombre entier.
07-ArithmeticPrinciple	F	On double un nombre en le multipliant par lui même.
07-ArithmeticPrinciple	F	Tout nombre réel peut être écrit comme une fraction.
07-ArithmeticPrinciple	F	Le carré d'un nombre négatif est négatif.
07-ArithmeticPrinciple	F	L'ordre selon lequel on divise des nombres est sans importance.
07-ArithmeticPrinciple	F	Un nombre non nul multiplié par lui même donne toujours un.
08-Calculation	V	Le résultat de sept moins trois vaut le nombre quatre.
08-Calculation	V	Soixante quatorze moins trois donne soixante et onze.
08-Calculation	V	La somme de soixante treize et deux donne soixante quinze.
08-Calculation	V	Le produit de quatre par sept fait vingt huit.
08-Calculation	V	Vingt sept divisé par trois donne comme résultat neuf.
08-Calculation	V	Le nombre trois multiplié par onze fait trente trois.
08-Calculation	V	Deux fois vingt quatre donne comme résultat quarante huit.
08-Calculation	V	La racine carrée de trente six est plus grande que cinq.
08-Calculation	V	Quarante huit correspond au résultat de douze fois quatre.
08-Calculation	V	La multiplication six fois dix correspond à soixante.
08-Calculation	V	Soustraire trois a vingt donne dix sept.
08-Calculation	V	Le produit de vingt deux par trois donne soixante six.
08-Calculation	V	Le quart du nombre cent vaut vingt cinq.
08-Calculation	V	L'addition de dix huit et trois fait vingt et un.
08-Calculation	V	Un tiers de quarante cinq a pour valeur quinze.
08-Calculation	V	La division de seize par quatre vaut quatre.
08-Calculation	V	Cinquante pour cent de trente a comme valeur quinze.
08-Calculation	V	Le double du nombre neuf vaut dix huit.
08-Calculation	V	Quarante deux moins un donne le nombre quarante et un.
08-Calculation	V	Quatorze multiplié par dix fait cent quarante.
08-Calculation	F	Quarante divisé par deux fait soixante huit.
08-Calculation	F	Vingt deux correspond au carré de dix huit.
08-Calculation	F	Dix sept est la racine carrée de cent quatre vingt onze.
08-Calculation	F	La division de trente trois par deux donne quatorze.
08-Calculation	F	Le triple de seize est plus grand que quatre cent cinquante.
08-Calculation	F	La moitié du nombre cinquante quatre égale trente sept.
08-Calculation	F	Multiplier quatre par trois donne comme résultat dix sept.
08-Calculation	F	Le résultat de vingt trois fois deux vaut neuf.
08-Calculation	F	Cinq plus seize est plus grand que le nombre vingt huit.
08-Calculation	F	Trente cinq moins six fait cent soixante dix neuf.
08-Calculation	F	Deux fois cinquante font cent quarante quatre.
08-Calculation	F	Trente moins treize moins cinq fait vingt deux.
08-Calculation	F	Cinquante est plus petit que trente quatre.
08-Calculation	F	Le nombre soixante quatorze vaut beaucoup plus que cent.
08-Calculation	F	Onze mille correspond au produit de cent par cent soixante.
08-Calculation	F	Seize correspond au résultat de deux multiplié par vingt neuf.
08-Calculation	F	La moitié de deux cents vaut trois cent cinquante.
08-Calculation	F	La division de quatorze par sept donne trois.
08-Calculation	F	Vingt neuf est compris entre quatre et vingt sept.
08-Calculation	F	Sept fois sept est plus grand que cinquante quatre.
09-Geometry	V	Un carré est une figure dont tous les côtés sont égaux.
09-Geometry	V	Les côtés d'un triangle équilatéral ont la même longueur.
09-Geometry	V	Tous les angles d'un carré sont des angles droits.
09-Geometry	V	Les angles d'un polygone régulier sont de la même taille.
09-Geometry	V	Les lignes parallèles ne se croisent pas.
09-Geometry	V	Des lignes sont perpendiculaires quand elles forment un angle droit.
09-Geometry	V	Un point peut être traversé par un nombre infini de lignes.
09-Geometry	V	Les losanges et les carrés ont des côtés égaux.
09-Geometry	V	Un angle droit est plus grand qu'un angle aigu.
09-Geometry	V	Tous les points d'un cercle sont à égale distance du centre.
09-Geometry	V	Un triangle équilatéral se divise en deux triangles rectangles.
09-Geometry	V	Le périmètre d'un carré est la somme des longueurs des côtés.
09-Geometry	V	La surface d'un rectangle est le produit de ses côtés.
09-Geometry	V	La diagonale d'un carré est plus grande que son côté.
09-Geometry	V	Tout polygone peut entrer dans un cercle.
09-Geometry	V	Le diamètre d'un cercle est le double de son rayon.
09-Geometry	V	Un cercle a un nombre infini d'axes de symétrie.
09-Geometry	V	Les diagonales d'un losange sont ses axes de symétrie.
09-Geometry	V	Un carré est un rectangle aux côtés égaux.
09-Geometry	V	Un carré possède des axes de symétrie.
09-Geometry	F	Un cercle possède de nombreux côtés rectilignes.
09-Geometry	F	Un hexagone est une figure avec des angles droits.
09-Geometry	F	Un rectangle coupé par une ligne droite donne des carrés égaux.
09-Geometry	F	Un triangle isocèle a plusieurs axes de symétrie.
09-Geometry	F	Plus un triangle est grand, plus ses angles sont grands.
09-Geometry	F	Les points d'un carré sont à égale distance de son centre.
09-Geometry	F	Le périmètre d'un cercle est le triple de son rayon.
09-Geometry	F	Les faces d'un cube sont des triangles.
09-Geometry	F	Des figures de même périmètre ont la même surface.
09-Geometry	F	Un triangle est une figure dont tous les côtés sont égaux.
09-Geometry	F	Un rectangle a un seul axe de symétrie.
09-Geometry	F	Un rectangle ne comprend que des angles aigus.
09-Geometry	F	Les côtés d'un losange peuvent être de différentes longueurs.
09-Geometry	F	Un triangle équilatéral est formé uniquement d'angles droits.
09-Geometry	F	Un triangle peut avoir plusieurs angles droits.
09-Geometry	F	Un triangle a plus d'angles qu'un carré.
09-Geometry	F	Des lignes perpendiculaires forment un angle aigu.
09-Geometry	F	Un losange peut se diviser en carrés.
09-Geometry	F	Un carré peut se diviser en triangles équilatéraux.
09-Geometry	F	Un angle droit est plus grand qu'un angle obtus.
